State;Year;PacksPerCapita;treated
Alabama;1970;89.80000305;0
Arkansas;1970;100.3000031;0
Colorado;1970;124.8000031;0
Connecticut;1970;120;0
Delaware;1970;155;0
Georgia;1970;109.9000015;0
Idaho;1970;102.4000015;0
Illinois;1970;124.8000031;0
Indiana;1970;134.6000061;0
Iowa;1970;108.5;0
Kansas;1970;114;0
Kentucky;1970;155.8000031;0
Louisiana;1970;115.9000015;0
Maine;1970;128.5;0
Minnesota;1970;104.3000031;0
Mississippi;1970;93.40000153;0
Missouri;1970;121.3000031;0
Montana;1970;111.1999969;0
Nebraska;1970;108.0999985;0
Nevada;1970;189.5;0
New Hampshire;1970;265.7000122;0
New Mexico;1970;90;0
North Carolina;1970;172.3999939;0
North Dakota;1970;93.80000305;0
Ohio;1970;121.5999985;0
Oklahoma;1970;108.4000015;0
Pennsylvania;1970;107.3000031;0
Rhode Island;1970;123.9000015;0
South Carolina;1970;103.5999985;0
South Dakota;1970;92.69999695;0
Tennessee;1970;99.80000305;0
Texas;1970;106.4000015;0
Utah;1970;65.5;0
Vermont;1970;122.5999985;0
Virginia;1970;124.3000031;0
West Virginia;1970;114.5;0
Wisconsin;1970;106.4000015;0
Wyoming;1970;132.1999969;0
California;1970;123;0
Alabama;1971;95.40000153;0
Arkansas;1971;104.0999985;0
Colorado;1971;125.5;0
Connecticut;1971;117.5999985;0
Delaware;1971;161.1000061;0
Georgia;1971;115.6999969;0
Idaho;1971;108.5;0
Illinois;1971;125.5999985;0
Indiana;1971;139.3000031;0
Iowa;1971;108.4000015;0
Kansas;1971;102.8000031;0
Kentucky;1971;163.5;0
Louisiana;1971;119.8000031;0
Maine;1971;133.1999969;0
Minnesota;1971;116.4000015;0
Mississippi;1971;105.4000015;0
Missouri;1971;127.5999985;0
Montana;1971;115.5999985;0
Nebraska;1971;108.5999985;0
Nevada;1971;190.5;0
New Hampshire;1971;278;0
New Mexico;1971;92.59999847;0
North Carolina;1971;187.6000061;0
North Dakota;1971;98.5;0
Ohio;1971;124.5999985;0
Oklahoma;1971;115.4000015;0
