year,state_id,lgearnwke,non_missing_obs,in_lab_force,unemp,uhourse,state,first_dif_lnwage,prev_lnwage,prev_unemp,prev_uhourse,prev_first_dif_lnwage
1979,AK,5.5880613,.55503142,.31132075,.073059358,37.50425,94,,,,,
1980,AK,5.5486693,.52310228,.35148516,.066157758,37.012619,94,-.039391994,5.5880613,.073059358,37.50425,
1981,AK,5.6088514,.54738563,.34313726,.079601988,37.032837,94,.060182095,5.5486693,.066157758,37.012619,-.039391994
1982,AK,5.6681733,.56164384,.31643835,.058116231,37.053658,94,.05932188,5.6088514,.079601988,37.032837,.060182095
1983,AK,5.7806654,.55078685,.32761088,.061702128,36.916882,94,.11249208,5.6681733,.058116231,37.053658,.05932188
1984,AK,5.8217273,.53161293,.31741935,.096408315,37.332523,94,.041061878,5.7806654,.061702128,36.916882,.11249208
1985,AK,5.864192,.61012655,.26202533,.068610631,36.989628,94,.042464733,5.8217273,.096408315,37.332523,.041061878
1986,AK,5.9393239,.58068615,.26937738,.086956523,36.969364,94,.075131893,5.864192,.068610631,36.989628,.042464733
1987,AK,5.9183364,.58815956,.24839126,.075342469,37.49453,94,-.020987511,5.9393239,.086956523,36.969364,.075131893
1988,AK,5.8938198,.59507525,.26675788,.067164183,37.63908,94,-.024516582,5.9183364,.075342469,37.49453,-.020987511
1989,AK,5.9497256,.60723859,0,.034852546,37.63797,94,.055905819,5.8938198,.067164183,37.63908,-.024516582
1990,AK,6.0111356,.5953992,0,.035182681,37.215908,94,.06140995,5.9497256,.034852546,37.63797,.055905819
1991,AK,6.03058,.63821137,0,.055555556,37.743099,94,.019444466,6.0111356,.035182681,37.215908,.06140995
1992,AK,5.9965615,.62992126,0,.056692913,36.41,94,-.034018517,6.03058,.055555556,37.743099,.019444466
1993,AK,6.0586405,.61616164,0,.05916306,36.817329,94,.062078953,5.9965615,.056692913,36.41,-.034018517
1994,AK,6.0292516,.62388593,.22816399,.036951501,34.922855,94,-.029388905,6.0586405,.05916306,36.817329,.062078953
1995,AK,6.1230979,.59266406,.24517375,.046035804,34.856678,94,.093846321,6.0292516,.036951501,34.922855,-.029388905
1996,AK,6.1412573,.64396888,.21011673,.049261082,34.592144,94,.018159389,6.1230979,.046035804,34.856678,.093846321
1997,AK,6.1468196,.64031619,.21541502,.057934508,35.222221,94,.0055623055,6.1412573,.049261082,34.592144,.018159389
1998,AK,6.056047,.62642372,.23006834,.056213018,33.560001,94,-.090772629,6.1468196,.057934508,35.222221,.0055623055
1999,AK,6.1429715,.63244355,.21355236,.06005222,35.545456,94,.086924553,6.056047,.056213018,33.560001,-.090772629
1979,AL,4.9183168,.49039882,.42983752,.064766839,36.289158,63,,,,,
1980,AL,5.055758,.54445964,.35567716,.089171976,37.336685,63,.13744116,4.9183168,.064766839,36.289158,
1981,AL,5.1019311,.55733335,.35466668,.074380167,36.495216,63,.046173096,5.055758,.089171976,37.336685,.13744116
1982,AL,5.1959596,.4992722,.38136828,.12705882,36.798832,63,.094028473,5.1019311,.074380167,36.495216,.046173096
1983,AL,5.2020226,.55586988,.3182461,.093360998,36.972012,63,.0060629845,5.1959596,.12705882,36.798832,.094028473
1984,AL,5.294528,.54137933,.33965516,.10704961,37.124203,63,.092505455,5.2020226,.093360998,36.972012,.0060629845
1985,AL,5.2775102,.58313817,.31850117,.0790378,36.469879,63,-.017017841,5.294528,.10704961,37.124203,.092505455
1986,AL,5.2952275,.57701147,.28965518,.077669904,36.418327,63,.017717361,5.2775102,.0790378,36.469879,-.017017841
1987,AL,5.3523707,.59856629,.29749104,.079081632,37.239521,63,.057143211,5.2952275,.077669904,36.418327,.017717361
1988,AL,5.421802,.58095241,.29714286,.10298103,37.731148,63,.069431305,5.3523707,.079081632,37.239521,.057143211
1989,AL,5.5317311,.62162161,0,.034749035,37.854038,63,.10992908,5.421802,.10298103,37.731148,.069431305
1990,AL,5.5644464,.59074074,0,.04074074,37.504704,63,.032715321,5.5317311,.034749035,37.854038,.10992908
1991,AL,5.6564074,.59615386,0,.045454547,38.442814,63,.091960907,5.5644464,.04074074,37.504704,.032715321
1992,AL,5.6698442,.62767708,0,.039538715,37.939632,63,.013436794,5.6564074,.045454547,38.442814,.091960907
1993,AL,5.6492085,.63786763,0,.03492647,37.567722,63,-.020635605,5.6698442,.039538715,37.939632,.013436794
1994,AL,5.6730585,.61100197,.29469547,.055710308,35.681671,63,.023849964,5.6492085,.03492647,37.567722,-.020635605
1995,AL,5.7658916,.64870262,.25349301,.04812834,34.393845,63,.092833042,5.6730585,.055710308,35.681671,.023849964
1996,AL,5.7169409,.67061144,.25443786,.039682541,33.561764,63,-.048950672,5.7658916,.04812834,34.393845,.092833042
1997,AL,5.8575807,.68737477,.24048096,.026385223,34.090378,63,.14063978,5.7169409,.039682541,33.561764,-.048950672
1998,AL,5.8914576,.66857141,.25523809,.051150896,35.282051,63,.033876896,5.8575807,.026385223,34.090378,.14063978
1999,AL,5.9311123,.68876612,.22836095,.038186159,33.877007,63,.039654732,5.8914576,.051150896,35.282051,.033876896
1979,AR,4.9377847,.55632186,.31494254,.060402684,37.18182,71,,,,,
1980,AR,5.0852866,.50734097,.36215335,.051150896,37.418007,71,.14750195,4.9377847,.060402684,37.18182,
1981,AR,5.1028852,.57450628,.28904846,.090909094,37.043751,71,.017598629,5.0852866,.051150896,37.418007,.14750195
1982,AR,5.1299553,.53319502,.33817428,.084639497,36.443581,71,.027070045,5.1028852,.090909094,37.043751,.017598629
1983,AR,5.1741681,.53592235,.33592233,.084795319,36.786232,71,.044212818,5.1299553,.084639497,36.443581,.027070045
1984,AR,5.2123594,.53964758,.31938326,.10355987,36.669388,71,.038191319,5.1741681,.084795319,36.786232,.044212818
1985,AR,5.2768178,.58436215,.2798354,.071428575,37.246479,71,.06445837,5.2123594,.10355987,36.669388,.038191319
1986,AR,5.3203692,.59124088,.27189782,.10526316,37.694443,71,.043551445,5.2768178,.071428575,37.246479,.06445837
1987,AR,5.4098072,.55273438,.296875,.1,38.646645,71,.089437962,5.3203692,.10526316,37.694443,.043551445
1988,AR,5.3882451,.63940519,.21747212,.080760092,37.636627,71,-.021562099,5.4098072,.1,38.646645,.089437962
1989,AR,5.4629374,.62252963,0,.039525691,37.599998,71,.074692249,5.3882451,.080760092,37.636627,-.021562099
1990,AR,5.5080333,.65391302,0,.048695654,37.694149,71,.045095921,5.4629374,.039525691,37.599998,.074692249
1991,AR,5.5962906,.63185841,0,.042477876,38.047619,71,.088257313,5.5080333,.048695654,37.694149,.045095921
1992,AR,5.6404624,.68401486,0,.026022306,37.89402,71,.04417181,5.5962906,.042477876,38.047619,.088257313
1993,AR,5.6691208,.66356879,0,.063197024,37.831932,71,.02865839,5.6404624,.026022306,37.89402,.04417181
1994,AR,5.7162433,.66332668,.23446894,.049738221,38.145016,71,.047122478,5.6691208,.063197024,37.831932,.02865839
1995,AR,5.7115531,.67474747,.23232323,.044736844,36.553894,71,-.0046901703,5.7162433,.049738221,38.145016,.047122478
1996,AR,5.745883,.67578948,.23578948,.038567495,34.607475,71,.034329891,5.7115531,.044736844,36.553894,-.0046901703
1997,AR,5.7295623,.6414687,.24190065,.045584045,35.232323,71,-.016320705,5.745883,.038567495,34.607475,.034329891
1998,AR,5.8480392,.68684763,.20250522,.047120418,36.079029,71,.11847687,5.7295623,.045584045,35.232323,-.016320705
1999,AR,5.8526573,.71396893,.19068736,.035616439,37.161491,71,.0046181679,5.8480392,.047120418,36.079029,.11847687
1979,AZ,5.1598701,.53333336,.37179488,.044897959,38.692307,86,,,,,
1980,AZ,5.1637826,.56595743,.36170211,.046666667,36.145363,86,.0039124489,5.1598701,.044897959,38.692307,
